symptoms	sentences
fever,hematemesis	What are you talking about?
diarrhea,hot heart	Have you got a heart attack? Have you had a diarrhea?
diarrhea,vomit	How many times a day do you have to take a shit? Do you have a diarrhea?
exhaust,stomach ache	What are you talking about?
gastrointestinal discomfort,frustration,hot heart,bowel sound,spasms	The tummy grunts are caused by intestinal spasms. The intestines are not functioning well, but they are mainly functional disorders caused by stomach inflammation.
gastrointestinal discomfort,back pain	What are you talking about?
black poo,indigestion	How long has the constipation been going on? Is there a black poop or a red? Indigestion?
fever,headache,stomach ache	Are there any other symptoms? Like stomach ache, fever?
headache,palpitations,dizziness	How long has this been going on? Is there a stomach disease that causes constipation? What are you talking about?
diarrhea,hot heart,loose stool	How many times have you had it? Is there a diarrhea, a hot heart?
diarrhea,sore throat	How many times a day do you have to take a diarrhea or throat?
abdominal pain,ventilation,hiccup	How long has it been? Are there any abdominal pains, hiccups?
abdominal distention,ventilation,bowel sound	What are you talking about?
bowel,diarrhea	What are the main symptoms of gastrointestinal inflammation? What are you talking about?
reflux,bloating,stomach ache,hiccup	Stomach ache, hiccup, reflux, constipation, stomach pain?
abdominal pain,difficult eating,ventilation,bowel sound,indigestion	The tummy grunt is an intestinal hysteria, which is probably caused by intestinal inflammation, and is due to intestinal worms.
stomachache,anorexia,vomit,indigestion	The main manifestations of this problem are stomach inflammation, which is not necessarily an intestinal disorder, which can be ruled out as a cause of indigestion. This doesn't matter.
headache,vomit	What are you talking about?
heat,chest pain	What are you talking about?
bowel,allergy,gastrointestinal disorders	In response to this consultation, the doctor updated his summary recommendations: general glyphosinol can be used as an anti-inflammation drug for the intestinal tract, and, if necessary, a further digestive examination recommended for the time being.
black poo,water swollen	How many times a day do you have to take a shit? Are there any symptoms of poo, blood or something?
abdominal pain,heart attack,back pain	Are there any symptoms of abdominal pain, heat attack, back pain, etc.? Is the liver normal? What's the cause of this discomfort?
diarrhea,dehydration,frustration,disgusting	This is mainly due to acute gastrointestinal inflammation, which is recommended for the use of a number of retrosynthetic and electrolytic drugs for the treatment of gastrointestinal condensation particles, and if the symptoms are repeated, then it is recommended that a further examination be performed to see if there is any nausea, vomiting, diarrhea, etc.
heat,frustration,stomach ache	Heat, stomach ache, so much get cold? What's the matter with you?
fever,fatigue,dizziness	How long has this been going on? Is there a fever, fatigue, diarrhea? What are you talking about?
bloating,stomach ache,indigestion	This situation is acute gastrointestinal inflammation, which may be related to stomach ache or indigestion.
diarrhea,dysbacteriosis,difficult eating	The main problem is treatment of gastrointestinal disorders, which often involve problems in the gastrointestinal tract, such as intestinal disorders, diarrhea and diarrhea.
stomachache,gastrointestinal discomfort	What are you talking about?
chest pain,sore throat,hiccup	Does the throat hurt? Is there anything else that doesn't feel good?
weight down,abdominal distention	What are you talking about?
bloating,reflux,vomit,nausea,hiccup	The concept of hiccup (brooming) summarizes the symptoms of reflux, nausea, vomiting, gas, negative gastric acid. The first question is whether the digestive function is dominated by diet, diets, food, cold, greasy, irritable foods, etc.
difficulty breathing,seung jo,disgusting,gastrointestinal discomfort	Are there any other discomforts besides that, such as stomach discomfort, constipation, gastrointestinal discomfort, fatigue, etc.?
heat,restlessness	The first is to change the bad habits of life by paying attention to the fact that fried food, pickled food, cold and hard-stimulating food, as well as the cold. It's also important to keep warm and not to drink too much water.
black poo,blood in stool	How many times a day do you have to take a shit? Are there any other symptoms? Like vomiting, what color is it?
gastrointestinal dysfunction,heat,counter-current,hot heart,hiccup	There's anti-acid, gas, heartburn, etc.
stomachache,fever,stomach ache	Are there any other problems? Stomach ache, stomach fever, etc.
reflux,stomach ache	How long has this been going on? Have you had any stomach ache or something?
nausea,fatigue,lack of energy,vomit	The phenomenon of energy inevitably leads to problems in the body: generating fat, fatigue, lack of energy, wasting and fatigue, which can also be used to regulate the function of the body, while increasing energy consumption and reducing the appetite for food and energy.
bloating,lethargy,vomit,exhaust,chest pain,hiccup	The concept of stomach optimisation is based on the fact that if the chest is unmitigated, the chest pain will be reduced by the end of the meal, and the stomach will be able to eat more hot food, drink more warm water, hold on to the chest. Stirling produces a variety of factors, such as stomach, stomach, gas, and more.
abdominal distention,seung jo,hiccup	There's no problem with gastrointestinal swelling, compared to other symptoms? Consumption of iced water?
gastrointestinal dysfunction,abdominal pain,stomach ache	This situation mainly considers acute stomach inflammation or gastrointestinal dysfunction. How long has this been going on?
heartburn,bloating,stomach ache	Are there any other problems? Like stomach ache, heartburn, constipation, etc.
counter-current,difficult eating,helicobacter infection	The eradication of phantom screws leads to a multiplicity of stomach problems.
bacterial infections,helicobacter infection	The phantom snails infection can cause bacterial infections to recur if they are infected.
disgusting,diarrhea,abdominal pain,ventilation,heat,counter-current,abdominal distention	Are there anti-acids, nausea, diarrhea, abdominal pain, fever, constipation, diarrhea?
gastrointestinal dysfunction,diarrhea,abdominal pain,abdominal distention	The intestinal stress syndrome is a set of persistent or intermittent intestinal disorders that are clinically manifested by abdominal pain, abdominal swelling, defecation, etc.
diarrhea,loose stool,disgusting,heat	Is there any nausea, vomiting, fever, diarrhea? How many times a day?
abdominal pain,heart attack,disgusting	Are there any symptoms of abdominal pain, heat, nausea, vomiting, etc.? Is the urine normal?
abdominal distention,ventilation,gastrointestinal discomfort	What are you talking about?
abdominal distention,sticky stool	What are you talking about?
difficulty breathing,sore throat	Does the voice hurt? Does it hurt? What's the matter with you?
abdominal pain,counter-current,disgusting,hiccup	What's wrong with my stomach?
bloating,vomit,nausea,stomachache,hiccup	The main ingredient of this product is the Marathon Certificat. Which generates bloating leads to hiccups, stomach pains, constipation, vomiting?
abdominal pain,abdominal distention,disgusting,gastrointestinal discomfort	Are there any other discomforts besides stomach pain? Like abdominal swelling or something?
diarrhea,abdominal pain,heat,frustration,abdominal distention	The main manifestation of acute gastrointestinal inflammation is mainly an intestinal inflammation, which can be taken into account in the event of fever, vomiting, etc. It is recommended that the following medications be prescribed for treatment: 1) to avoid eating raw, cold, rough, greasy, irritable foods and, in the case of abdominal pain, which cannot be substituted for other medications, 2) to drink more water and then to use a combination of two medications to promote intestinal worms; 2) to treat cold, gynecology,
disgusting,difficult eating,cough,frustration,mental distress,abdominal distention	Factors liable to increase gastric mucous membrane damage include:Dietary factors: cold and hot, irritant foods, bulimia, nausea, vomiting, gastric abnormalities, gastrointestinal swelling, bloated foods, etc.
reflux,bloating,stomach ache	Are there any other problems? Stomach ache, stomach bloating, reflux?
chest pain,hiccup	How long has it been? Have you had a pain in the chest during the event of an emergency?
diarrhea,stomach ache,nausea,vomit	What are the symptoms of this disease? Stomach ache, nausea, vomiting, what are you talking about?
heat,abdominal pain,abdominal distention	What are you talking about?
bowel,diarrhea,gastrointestinal discomfort	The gastrointestinal function is not good, and it is a lot of diarrhea and uncomfortable.
diarrhea,frustration,disgusting,gastrointestinal discomfort	Are there any other discomforts besides that, such as stomach discomfort, nausea, diarrhea, etc.? Is the urine normal?
heartburn,nausea,vomit	What are you talking about?
tensile and heavy,blood in stool	How many times a day do you take a shit? Are there any slime puss?
bloating,reflux,stomach ache,vomit,nausea,heartburn,hiccup	Creature, hiccup, stomach pain, stomach ache, gastric pain, headaches,heatburn, etc.
spasms,abdominal pain,abdominal distention,disgusting	Are there any abdominal pains, abdominal swelling, nausea, vomiting? What's the matter with you?
diarrhea,frustration,heat	How long has it been? Is there a fever, diarrhea, constipation?
stomach ache,indigestion	What are you talking about?
cough,water swollen	What are you talking about?
diarrhea,heat,disgusting,bacterial infections	What are the symptoms of the infection? Is there a fever, nausea, vomiting, diarrhea?
black poo,abdominal pain,gastrointestinal discomfort	Are there any abdominal pains? Is there something wrong with the stomach?
stomachache,blood in stool	How many times a day do you have to take a shit? Do you have a pus? Are there any questions?
hiccup,nausea,gastrointestinal discomfort	What's wrong with your stomach?
nausea,vomit,hiccup	How long have you been in this situation? Have you seen a vomiting, hiccup, nausea, vomiting?
gastrointestinal dysfunction,diarrhea,heat	In conclusion, it is regrettable that there has been no further communication, that the history of the disease is unclear and impossible to communicate, but considering the possibility of appendicitis, it would be better to go to the hospital to test the blood routines and to find out which part of the infection?
stomachache,bloating,vomit	How many times a day do you have to take a shit? Do you have a stomach ache and constipation?
abdominal distention,difficult eating,indigestion,gastrointestinal discomfort	The main cause of this diarrhea is indigestion, which can be taken into account in the absence of functional problems, such as abdominal swelling, greasy, irritant foods, etc.
abdominal distention,loose stool,indigestion,bowel sound	The shit's dry, or eat something that's not easy to digest? What's the sound of the intestine?
seung jo,disgusting	Are you usually allergic to drugs? Are you still pregnant?
fever,chest pain	What are you talking about?
disgusting,gastrointestinal discomfort,diarrhea,difficult eating,frustration,loose stool	The gastrointestinal function is characterized by nausea, vomiting, defecation, gastrointestinal inflammation, which is often unmitigated on the basis of data.
diarrhea,headache	How many times a day do you have to take a shit? Are there any symptoms of diarrhea or headaches?
stomachache,diarrhea,loose stool	How many times a day do you have to take a shit? Do you have diarrhea?
ventilation,abdominal pain,indigestion	What are the main symptoms of this disease? Consider indigestion. What are you taking?
bloating,indigestion,gastrointestinal discomfort	What are the symptoms of the stomach? Consider indigestion, stomach inflammation and bloated.
heat,frustration,disgusting,stomach ache	Are there any other discomforts: nausea, vomiting, gas, stomach ache, fever, etc.?
diarrhea,dehydration,frustration	In addition to diarrhea, which are symptoms of repeated symptoms, besides stomach inflammation, is there anything wrong with it?
gastrointestinal dysfunction,gastrointestinal discomfort	What's wrong with your stomach?
abdominal pain,bitterness in the mouth,gastrointestinal discomfort	The gastrointestinal function is not good, and there are a few things to look at. Like abdominal pain, bitterness and fear of acid, etc.
vomit,gastrointestinal discomfort	Are you sick of your stomach right now? Are there any problems with the diet?
hot heart,gastrointestinal discomfort	How long has it been? Is there anything else uncomfortable? Like a heartburn?
abdominal pain,hunger,stomach ache	Are there any other symptoms? Like stomach pain, stomach ache, constipation, etc.
disgusting,urgent urination,diarrhea,abdominal pain,frequent urination,counter-current,hot heart,abdominal distention	Are there anti-acid burns, nausea, diarrhea, abdominal pain?
stomachache,diarrhea,stomach ache,hiccup	The main ingredient of this product is the Marathon Curly Booting. Which one of the first foods that is not easy to digest? Like stomach pain, stomach ache, constipation, diarrhea?
hiccup,helicobacter infection	The phantom snails infection can cause hiccups and what?
heat,abdominal pain,disgusting	Are there any abdominal pains, nausea, vomiting, what kind of heat?
bloating,diarrhea,stomach ache,vomit,stomachache	Do you have stomach pains, stomach ache, constipation, diarrhea? What's the cause of this problem?
bloating,loose stool,gastrointestinal discomfort	How long has it been? A few times a day? Is there a stomach problem?
abdominal pain,stomach ache,ventilation,gastrointestinal discomfort	What's wrong with the stomach? Is the stomach ache sore?
hiccup,counter-current,bowel sound	Hello, there's no anti-acid hiccup with abnormally bruised intestinal sound.
bloating,black stool,stomach ache,blood in stool	Do you have stomach pains, blood or bloated in the shit?
counter-current,disgusting	Are there any other discomforts, such as nausea, vomiting, anti-acid, fatigue, etc.?
gastrointestinal discomfort,gastrointestinal dysfunction,blood in stool	In addition to stomach inflammation, is there a dysfunction in the shit? Have you ever had an intestinal mirror?
stomach ache,disgusting,gastrointestinal discomfort	Is there a stomach ache or something that doesn't feel good?
fever,dizziness	How long has this been going on? Is there a fever, diarrhea?
diarrhea,disgusting,hunger	Are there any other discomforts besides that, such as nausea, vomiting, or something that can cause gastrointestinal inflammation?
sense of hunger,vomit	The first is to consider the possibility of stomach disease, which can be reduced by a combination of two factors, and the second is to see if the symptoms of hunger are alleviated by oral medications, which may be more likely to cause problems in the digestive tract.
abdominal distention,helicobacter infection	What's wrong with you?
gastrointestinal discomfort,hiccup,difficult eating,bowel sound	The intestine is not functioning well, and it is mainly to consider gastrointestinal inflammation, which is caused by stomach inflammation. Which part of it is not a problem?
stomachache,fever,reflux	What's wrong with stomach pain, stomach feces, constipation, fission, etc.
diarrhea,abdominal pain,dehydration	In response to this consultation, the doctor updated his summary recommendations: acute intestinal inflammation in the form of abdominal pain, diarrhea, which may be caused by the cold, but which may not be taken into account in the future.
intestinal obstruction,ventilation	If the symptoms are repeated and unmitigated or accompanied by other discomforts, such as infarction, obstruction or constipation, you are advised to go to the hospital for a check-up.
abdominal pain,ventilation,gastrointestinal discomfort	What are you talking about?
diarrhea,counter-current,disgusting,gastrointestinal discomfort	Are there any other discomforts, such as anti-acid, nausea, diarrhea, etc.?
disgusting,diarrhea,bowel sound,abdominal distention,hiccup	There is no problem if there is no vomiting, intestinal swelling, hiccups, vomiting, diarrhea, etc.
fever,nausea	What are you talking about?
dysphagia,abdominal pain,sore throat,indigestion,hiccup	Does the throat hurt? Does the stomach ache, constipation, hiccup, vomiting? What's the cause of this indigestion?
abdominal distention,counter-current	Are there any symptoms of anti-acid burning of the stomach? What about abdominal swelling?
bowel,hemorrhoid	In general, hemorrhage ceases on its own and, if necessary, may be partially used orally for the purposes of the exclusion.
abdominal distention,indigestion,hiccup	What are you talking about?
stomachache,allergy	What are you talking about?
abdominal pain,abdominal distention,indigestion	Are there any diseases of the stomach that can cause abdominal swelling or abdominal swelling to constipate?
fever,reflux,hematemesis,vomit	Then you're not happy to answer! We're talking about fever, which can be reacted to the previous symptoms.
diarrhea,abdominal pain,cough,heat,sore throat	How many times a day do you have to take a shit? Do you cough? Does your throat hurt? Does it hurt?
diarrhea,bloating,stomach ache,vomit	Do you have stomach pains? Are there other symptoms? Diarrhea, constipation, diarrhea?
abdominal distention,stomach ache,hot heart,hiccup	Are there any other problems, such as stomach swelling, heartburn, gas, etc.? Which part of the stomach ache? Have you done any tests?
fatigue,nausea	What are you talking about?
disgusting,gastrointestinal discomfort,stomach ache,abdominal distention,hiccup	Are there any other symptoms besides stomach pains? Consider gastrointestinal inflammation, stomach swollen, gas, etc.
ventilation,bowel sound	What are you talking about?
heartburn,stomachache,gastrointestinal discomfort	So you have to go to the hospital to test the stomach and stomach. What are you talking about?
fatigue,anorexia,nausea,vomit	Then you can't tell me what to say, because you're in a situation where you are advised to go to the hospital. The second is that fatigue, anorexia, vomiting, which is not good for your stomach.
disgusting,gastrointestinal discomfort,diarrhea,hot heart,abdominal distention,hiccup	Are there any other symptoms besides stomach discomfort? Diarrhea, burning hearts, bloated stomachs, etc.
reflux,loose stool,hiccup	What are you talking about?
bloating,blood in stool	How many times a day do you have to take a shit? Are there any slime puss?
fatigue,diarrhea,stomach ache,fever,loose stool,anorexia	Creatures, antacids, fatigue, diarrhea, stomach pains, more than 38 degrees, depending on how many degrees of discomfort you have.
spasms,diarrhea,disgusting	Is there any other discomfort? Consider intestinal spasms, nausea, diarrhea.
fatigue,diarrhea,vomit,fever,nausea,headache	See if there is no vomiting, indicating that the cause of the headache is related to fatigue, which is not a problem, and which one of the first foods that are not good for digestion, are there any other symptoms, such as nausea, vomiting, gastric, fission, pasta, etc. Let the light diet be light, but let's just say that this is not the case when it happens?
disgusting,stomach ache,hot heart,counter-current,abdominal distention,hiccup	Are there anti-acid, gas, stomach pain, etc.? Is the stomach swollen? What are the symptoms?
black poo,hemorrhoid,blood in stool	In general, hemorrhage in the digestive tract is black, and there is a lot of activity.
diarrhea,fatigue	What are you talking about?
chills,gastrointestinal discomfort	What are you talking about?
hiccup,counter-current,back pain	Are there other symptoms, such as anti-acid, gas, back pain, etc.
gastrointestinal dysfunction,loose stool	What's wrong with you?
bowel,hiccup,gastrointestinal discomfort	What are the symptoms of the gastrointestinal discomfort caused by the hiccup? What are you talking about?
spasms,diarrhea,abdominal pain,disgusting	In response to this consultation, the doctor updated his summary recommendations: mainly to consider the manifestations of pain, convulsions, abdominal pain, nausea, diarrhea, etc., which are not very relevant.
gastrointestinal discomfort,stomach ache,difficult eating,heat,frustration	This situation is acute gastrointestinal inflammation, which is not very relevant for the time being, and is not likely to occur if the stomach ache is not alleviated or for a longer period of time, it is recommended that it be adapted to the diet, that the cold is difficult to digest, that there be a reduction in the risk of cold, resulting in increased activity such as hot, hot, irritable foods and, in the event of further discomfort during defecation, that these activities be taken into account
frustration,sore throat	What's wrong with you?
abdominal pain,difficult eating,hiccup	How long has it been? Is there anything else that doesn't feel good, such as vomiting, hiccups, vomiting? What's the matter with you?
exhaust,lack of energy,hiccup	How long has this been going on? Is there a shortage of energy and a burp? What are you talking about?
disgusting,sore throat,gastrointestinal discomfort	How's your stomach? Are there any other discomforts? Like nausea, vomiting?
cough,counter-current,hot heart,hiccup	There's anti-acid, heartburn, breath. Is there a cough?
hiccup,loose stool,bowel sound	The shit's thin? Consider gastrointestinal inflammation related to hiccups.
gastrointestinal dysfunction,dehydration,frustration	In conclusion, it is regrettable that there has been no such situation as intestinal inflammation or gastrointestinal dysfunction, which has led to dehydration and intestinal inflammation. The following causes are taken into account: acute gastrointestinal inflammation, which can be properly treated in the event of repeated symptoms, such as fatigue, fatigue, etc., which is likely to cause problems in the intestinal tract.
hemorrhoid,seung jo	What do you think you're talking about, causing hemorrhoids? Is there a drug allergic?
reflux,vomit	How long has it been? Is there anything else that doesn't feel good, like reflux?
heat,disgusting,hiccup	Is there a fever, nausea, hiccup? Is the urine normal?
disgusting,diarrhea,stomach ache,difficult eating,hiccup	The main ingredient of this product is the Marathon Curly Booting. Which part of the stomach is it? Stomach ache, nausea, vomiting, etc.
diarrhea,loose stool,blood in stool	How many times a day do you have to take a shit? Do you have a blood pus, a diarrhea?
abdominal distention,disgusting,indigestion,stomach ache	Are there any other discomforts: nausea, stomach swelling, stomach ache, etc.?
disgusting,hot heart,counter-current,abdominal distention,indigestion	Are there any symptoms of anti-acid burning heart, nausea, vomiting, etc.?
abdominal pain,sticky stool,gastrointestinal discomfort	How long has it been? Is there anything else? Like abdominal pain, stick shit, stomach discomfort?
heat,abdominal distention,disgusting	Is there any nausea, vomiting, fever, other discomforts?
bowel,sense of hunger,loose stool	In the event of repeated symptoms, wet shit can be properly digested, such as intestinal fluids, which can be used for digestion and maintenance.
diarrhea,abdominal pain,hot heart,counter-current,loose stool,abdominal distention	How long has it been? Is there anything else? Diarrhea, abdominal pain, heartburn, anti-acid, gas?
indigestion,gastrointestinal discomfort	Considerations are caused by indigestion. How uncomfortable is the stomach.
diarrhea,abdominal distention,bitterness in the mouth,helicobacter infection	The eradication of phantom screws takes into account negative aspects of the stomach. What's the matter with you?
abdominal distention,hunger,stomach ache	Are there any other symptoms? Stomach ache, abdominal swelling, hunger?
